卡号,信用额度,是否逾期,持卡时长
3588128394331448,65825,否,16
9115373794133188,84367,是,3
6526265229847997,38099,否,17
7306249433745520,18753,否,6
4886571935452563,27034,否,18
0777955007212691,56972,否,18
6051891495758221,44902,否,3
8938380301569219,31262,是,16
8185976691817798,31020,否,17
1514930964090974,38393,否,6
2271328613716595,55753,是,18
1489450486971213,9720,否,18
8267796039498899,61642,是,12
4603904630549907,52968,否,17
4763255823763760,10771,是,7
0559128509080428,68203,否,13
7494613239397946,96744,是,12
3729207386023512,64579,否,2
5640003713396201,45901,否,9
5289042611606508,39269,是,1
9656309109025891,1194,是,5
0719152595433819,17814,是,4
4989742383287242,35546,是,7
0834906670236503,21600,是,16
7137938684764127,52268,否,13
4301860708911686,5907,是,18
8727238640008525,69594,否,5
4075323299160040,33294,否,3
3897323667280475,10179,否,3
5819482793262209,89016,否,10
9736602284503315,18475,否,15
5075753373079311,38233,否,4
6572238691396007,18321,是,6
5261241997179272,61295,否,4
0425347088455670,12128,是,5
1543755775085917,49756,是,12
9472664332987603,82131,是,16
0861187378552455,77070,否,10
6756238676337878,81547,否,5
1820261318463640,85395,是,15
1422400220125931,39005,否,13
4943953904508962,50199,否,8
9495225936965062,47364,否,12
8516836100996632,84688,是,15
9037706949221537,69822,否,2
9471453725618853,64620,否,6
3099394132750423,27022,是,4
1910501945095088,10595,否,19
6460196137327870,42516,是,11
1015289755169790,52482,否,5
2640708289324402,58300,是,9
0191976624712813,21451,否,6
8655328603531966,88982,否,20
2914756791070543,93001,是,6
4323498237010947,69517,是,2
6990008979043866,70322,是,15
4260002019880859,80548,否,9
7130571096470652,7010,是,14
7355092380733849,13742,是,15
9475035907871933,98976,是,15
1609276838465578,43264,是,2
0427913618573174,52714,否,7
6458902884141280,95970,是,11
5109003688714611,34467,否,14
0680349080156012,85605,否,9
8901663556144710,16782,是,6
7716929489285358,20885,否,8
6055637412769540,16542,是,1
0807479144664025,36028,否,10
8354087917191049,33687,是,20
7137737902421151,25388,是,18
0526020025890601,22258,否,19
9569646723929458,48735,是,15
1033144407026717,15128,否,2
3092980992358502,38805,是,1
0076197843020350,3164,是,9
1303534555925611,41743,是,3
0853576431117521,13232,是,4
2152829281716422,67706,否,6
8034817617432889,40513,是,16
3272249244544634,98763,否,16
2310835118826622,20540,是,4
2972810143134191,18548,是,10
8844916686258793,34816,是,18
7941454399823671,79191,是,14
0155700165556449,6214,否,5
7636941284620181,7374,是,4
0320350304629041,80873,否,16
1506887759205160,2873,否,5
2408906473782427,1552,是,13
6848732319681452,78116,是,19
9933514777479801,41468,是,3
4304914602316292,64227,是,6
3743479810675566,36957,是,8
1514461490371421,80780,否,18
5171806221063979,23409,是,15
9438606219204483,70015,是,17
6849884095925946,89538,是,11
4917849870447772,33028,是,15
3764988514423678,81069,否,4
7089792386831376,81012,否,8
2376253295043167,90263,否,9
6183166308458137,23428,是,15
1675801990509048,87322,否,12
2109314462907768,48083,是,7
7933008035449760,74843,否,1
3288790448652942,77712,是,13
7054697795919331,32670,否,18
1072930730694287,15175,是,14
9166715460952526,33552,否,17
5048439570953674,94677,否,13
6889362179028814,27872,否,18
6412202836221820,52582,是,3
2210456271636779,68143,是,15
3622969373447308,45872,是,7
1771972812789791,61050,否,6
4865743771287028,44779,是,10
6669225856772869,89780,否,10
3403246173144413,93333,是,3
7018032858817612,4402,是,8
3751186794313584,89341,否,12
8432503884916050,7389,是,6
9948801916931800,70108,否,12
0651542026963255,98163,是,4
2271443108660152,53983,否,17
2449740821373474,83288,是,2
0133231311479184,11412,是,14
5209315536590338,28727,是,4
2080273549617738,5006,是,18
4374403695208717,34875,是,20
0204370123947923,15288,是,19
4037882853466708,42859,否,18
6194254228885172,95180,是,4
5474478577500837,43491,是,14
8664044007940300,8604,是,1
9015904310862988,21975,是,7
1735669045302462,34361,是,5
1020849748940957,49632,是,17
5359004913809384,3867,否,17
8324449050795310,29413,是,12
1248488760160244,39567,否,12
5556056024410098,89059,是,15
2737563368776292,31094,是,14
5664846505735775,28037,是,20
4460766098332860,75430,否,14
5993557528882899,6811,是,3
0744422426204755,40233,是,4
2501830794095140,3464,否,7
4840965233650390,74443,否,4
7991912926726724,3871,否,12
7058288608475861,62046,是,20
8915261251140074,72771,否,15
3612408212045458,73445,是,20
0363124656223417,94155,否,12
0650717605373613,43621,否,14
3314877393039621,36100,否,17
7271087022169535,73775,是,11
3981557582556260,32631,是,3
1314044350645456,36653,否,10
7321370628733844,6154,否,1
4329218709571728,99856,否,1
7437530673852627,26111,否,8
1786737134880735,29547,是,14
5500623854604001,87382,是,16
1681925460654004,19521,是,18
3814109298522420,91850,是,7
9304574324589269,40072,是,19
9984002172135559,14838,否,4
1518896460206877,67620,是,15
2659333412212132,57017,否,16
4176831838123344,80340,是,6
6565642923386932,23781,否,5
5256804045850435,27623,否,2
0017146283464746,91079,是,1
1730465893956341,4910,否,9
9666882266080921,70641,否,7
0691865596177654,72033,是,10
7753909554731236,49741,是,10
1787515756707108,74311,是,11
3553236096042708,72387,否,8
4428915145536798,80141,是,11
4357419495047856,33103,否,4
7267668670586309,64635,是,2
7978521718098469,76538,否,11
1155869963473080,42897,否,16
4938980871387670,43561,是,12
6196157712478891,43912,是,17
3533826330276014,3434,是,17
3745057519798290,63420,是,18
3147373742631191,30610,是,18
3191030219125231,4107,否,16
8024982006503119,33964,是,14
9231760899562521,47612,是,12
0071316547505145,48785,是,9
8777343848084304,3385,否,17
1273358206538073,44562,是,6
1254578252333652,2240,是,5
0191942085108534,43069,否,11
7796771450849336,39110,否,11
4940428694695150,45525,否,7
4153458980361156,77902,是,12
4354582039783484,59406,否,9
9016237710905420,85317,否,20
2442833597276274,55314,是,7
3580658277975738,12914,否,19
7807897150091859,44818,是,16
7565677764086091,21834,是,6
2523276077125370,56988,是,16
1290091070604004,3526,是,1
0005041438616304,51386,是,4
3090284368783375,30051,否,18
7293819743714848,3808,否,20
4116994698738987,27414,否,14
2338586497315237,49374,是,2
2034094894374759,47126,否,3
0640153095309831,82855,否,9
2462578928847904,24116,否,13
5201379049542017,60657,否,3
7776527682689603,58852,否,2
3800907271609285,86435,否,7
2073725314224900,98319,否,3
4570930061792343,83028,是,17
