Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Cameron Williams,42,11066.8,0,7.22,8,2013-8-30 7:00,"10265 Elizabeth Mission Barkerburgh, AK 89518",Harvey LLC,1
Kevin Mueller,41,11916.22,0,6.5,11,2013-8-13 0:38,"6157 Frank Gardens Suite 019 Carloshaven, RI 17756",Wilson PLC,1
Eric Lozano,38,12884.75,0,6.67,12,2016-6-29 6:20,"1331 Keith Court Alyssahaven, DE 90114","Miller, Johnson and Wallace",1
Phillip White,42,8010.76,0,6.71,10,2014-4-22 12:43,"13120 Daniel Mount Angelabury, WY 30645-4695",Smith Inc,1
Cynthia Norton,37,9191.58,0,5.56,9,2016-1-19 15:31,"765 Tricia Row Karenshire, MH 71730",Love-Jones,1
Jessica Williams,48,10356.02,0,5.12,8,2009-3-3 23:13,"6187 Olson Mountains East Vincentborough, PR 74359",Kelly-Warren,1
Eric Butler,44,11331.58,1,5.23,11,2016-12-5 3:35,"4846 Savannah Road West Justin, IA 87713-3460",Reynolds-Sheppard,1
Zachary Walsh,32,9885.12,1,6.92,9,2006-3-9 14:50,"25271 Roy Expressway Suite 147 Brownport, FM 59852-6150",Singh-Cole,1
Ashlee Carr,43,14062.6,1,5.46,11,2011-9-29 5:47,"3725 Caroline Stravenue South Christineview, MA 82059",Lopez PLC,1
Jennifer Lynch,40,8066.94,1,7.11,11,2006-3-28 15:42,"363 Sandra Lodge Suite 144 South Ann, WI 51655-7561",Reed-Martinez,1
Paula Harris,30,11575.37,1,5.22,8,2016-11-13 13:13,Unit 8120 Box 9160 DPO AA 43432,"Briggs, Lamb and Mathews",1
Bruce Phillips,45,8771.02,1,6.64,11,2015-5-28 12:14,Unit 1895 Box 0949 DPO AA 40249,Figueroa-Maynard,1
Craig Garner,45,8988.67,1,4.84,11,2011-2-16 8:10,"897 Kelley Overpass Suite 349 West Rebekahport, AZ 44793",Abbott-Thompson,1
Nicole Olson,40,8283.32,1,5.1,13,2012-11-22 5:35,"11488 Weaver Cape Hernandezberg, WI 63417-8544","Smith, Kim and Marshall",1
Harold Griffin,41,6569.87,1,4.3,11,2015-3-28 2:13,"1774 Peter Row Apt. 712 New Autumn, MT 18782","Snyder, Lee and Morris",1
James Wright,38,10494.82,1,6.81,12,2015-7-22 8:38,"45408 David Path East Kimberlyshire, HI 54903-6698",Sanders-Pierce,1
Doris Wilkins,45,8213.41,1,7.35,11,2006-9-3 6:13,"28216 Wright Mount Apt. 356 Alichester, DE 40999-2369","Andrews, Adams and Davis",1
Katherine Carpenter,43,11226.88,0,8.08,12,2006-10-22 4:42,Unit 4948 Box 4814 DPO AP 42669,"Morgan, Phillips and Harrell",1
Lindsay Martin,53,5515.09,0,6.85,8,2015-10-7 0:27,"69203 Crosby Divide Apt. 878 Parkerview, CO 87064",Villanueva LLC,1
Kathy Curry,46,8046.4,1,5.69,8,2014-11-6 23:47,"9569 Caldwell Crescent Tanyaborough, RI 30637","Berry, Orr and Cabrera",1
Dean Miller,41,9771.22,0,5.81,11,2013-5-30 0:42,"803 Kelli Crossing Apt. 169 Jimenezberg, WV 56530-4240",Parks-Bradley,1
Kevin Ramos,56,12217.95,1,5.79,11,2016-11-17 14:37,"5775 Jared Stream Apt. 881 Port Jenniferfort, CO 63506-4063",Olsen LLC,1
Jennifer Wood,35,9381.12,1,6.78,11,2006-3-27 20:52,"1493 Phillips Haven Lake William, FM 00995-2870","Clark, Campbell and Armstrong",1
Paul Walker,41,10474.94,0,6.4,12,2012-1-2 5:08,"73006 Patty Avenue Apt. 646 New Sarahburgh, NV 24826",Dalton LLC,1
Lindsey Day,55,11158.5,1,4.86,10,2007-1-7 1:21,"85934 Dakota Mall Timothyville, MI 72421","Thompson, Hansen and Sanchez",1
Steven Hernandez,54,8207.1,0,4.26,11,2015-4-5 15:57,"14609 Perez Turnpike Bradleyberg, DE 99755","Yates, Martinez and Cox",1
Danielle Kirk,35,12403.81,0,4.42,11,2007-7-31 6:39,"20117 Johnson Ports Apt. 914 Jenniferfort, DC 40595",Reeves-Curtis,1
Troy Oliver,40,10041.13,0,7.61,11,2006-7-30 15:27,USCGC Blake FPO AA 66377-6894,Gates Ltd,1
Darlene Evans,44,12721.55,0,5.18,11,2011-4-25 2:53,"950 Christina Viaduct Anastad, IL 03324-2274",Dunlap and Sons,1
Mrs. Sarah Morales,37,8284.89,1,5.6,10,2009-3-25 6:10,"8807 Young Village Joneston, AR 56462","Taylor, Allen and Gardner",1
Laura Pierce,54,10661.48,1,5.16,8,2011-12-26 22:06,"PSC 3912, Box 7208 APO AA 23623",Charles-Branch,1
Carla Ball,45,10793.11,1,4.65,10,2016-12-28 4:07,"754 Shannon Mall South Shawn, AS 29886-0448",Barton Inc,1
Robert Hill,46,9322.44,1,2.69,11,2010-11-16 13:22,"2088 Kelli Way Millertown, MT 37058","Stevens, Harris and Greene",1
Joseph Harrell,44,9814.22,1,5.45,12,2010-1-23 7:15,USCGC Bell FPO AE 94532,"Fitzgerald, Sherman and Lowe",1
Tammy Shepherd,48,11740,1,4.97,11,2011-3-6 1:34,"234 Gonzalez Terrace Santiagohaven, CO 28918-5500",Martin Ltd,1
Kelly Carroll,37,14383.36,0,7.84,10,2011-4-5 0:21,"8268 Baker Rapid Suite 712 Alexiston, TN 05207-2057","Juarez, Pugh and Vargas",1
Heidi Munoz,38,11887.39,0,5.83,12,2009-10-15 17:14,USCGC Mason FPO AA 96632-5067,Mckinney-Rogers,1
Thomas Sawyer,48,10367.08,1,6.45,12,2008-10-6 17:15,"8113 Rodriguez Court Sheribury, SC 88474","Lopez, Kelly and Armstrong",1
Erin Rivera,37,8198.06,1,5.04,12,2016-11-6 1:13,"34727 Randy Prairie Apt. 275 South Pamelashire, AS 63214-4216","Wilkins, White and Martin",1
Raymond Berry,41,7777.37,0,4.81,12,2014-1-20 8:53,"75210 Mark Mill Apt. 397 Donnamouth, MA 40404-7466","Evans, Logan and Wilson",1
Patrick Bell,41,11699.26,0,6.99,12,2010-3-31 14:45,"93345 Monique Tunnel Apt. 431 North Chase, NJ 30518",Clark-Kramer,1
Jason Jones MD,55,16838.94,1,6.66,8,2007-10-5 15:48,"52454 Jessica Passage Apt. 097 Mitchellburgh, AS 30584-9004",Brown-Richardson,1
Jermaine Johnson,36,10484.33,1,8.84,10,2008-4-29 9:07,"4102 Griffin Courts Middletonton, FM 48608","Dunlap, Hughes and Taylor",1
George Archer,37,8736.06,1,5.51,12,2014-12-23 19:38,"5645 Henderson Streets Brandystad, CA 92343",Smith Inc,1
Richard Fields,50,10850.78,1,5.63,9,2010-6-18 7:10,"451 Flynn Streets Morenobury, NE 64722-7132",Brown-Bishop,1
Amanda Roberts,43,8601.01,0,5.65,12,2007-2-3 17:52,"PSC 9561, Box 4071 APO AA 92200-5783",Evans LLC,1
David Kennedy,45,11170.06,1,7.76,10,2011-1-26 19:05,"56990 Laurie Gardens Suite 145 West Tara, OH 24389",Williams-Hoffman,1
Adam Waters,40,11185.62,0,6.26,12,2006-3-6 18:36,"6040 Juan Forge Parrishville, NJ 27948",Reed Ltd,1
Patricia Elliott,36,9793.42,0,5.98,9,2007-11-27 12:24,"9072 Martinez Squares Suite 404 New Emilystad, NH 26441-4895",Ortiz Ltd,1
Summer Haley,43,12524.68,0,5.98,10,2010-5-27 4:46,"312 Wilson Oval Suite 872 East Michaeltown, MN 40127-6212","White, Vargas and Moore",1
Brittany Jackson,50,12682.9,0,4.58,10,2006-9-11 7:07,"082 Roth Island Daniellefurt, DE 69027-7185",Mcdonald-Cooper,1
Shawn Chavez,44,14036.28,1,7.25,10,2009-1-30 1:58,"42028 Hampton Flat Apt. 206 North Samuelburgh, ME 73072","Carter, Murphy and Valenzuela",1
Laura Fleming,41,10179.92,1,5.97,10,2010-2-25 0:17,"7023 Courtney Lodge Suite 935 Coxtown, NE 89508","Knight, Hammond and Mccoy",1
Marcus Garza,46,12772.72,1,6.46,9,2010-7-3 18:56,"06806 Lyons Drive Apt. 864 Port Michaelview, MH 56506","Holland, Jones and Schmidt",1
Heather Murphy,46,12122.19,0,7.53,11,2015-12-30 18:49,"1264 Williams Views Suite 114 Port Isaac, VI 31105-1539","Petersen, Howard and Bowen",1
Jeffrey Hill,40,9922.3,1,5.07,11,2006-9-22 20:58,"97907 Jensen Forge Brianmouth, MH 69993-8000","Williams, Bautista and Carr",1
Amy Griffin,48,4771.65,0,3.77,12,2007-6-19 4:30,"062 Trevor Falls Suite 665 North Mathewchester, MH 93744",Larson-Hall,1
Michelle Hill,42,10827.96,1,4.2,10,2008-11-10 19:35,"45946 Day Springs Mendozastad, NJ 46404","Pierce, Peterson and Maldonado",1
David Rodriguez,38,8642.01,1,4.76,11,2014-8-13 17:14,"7318 Graham Ville Apt. 633 Gibsonview, MI 04337-6720",Walker-Baker,1
